score,date,album,artist,reviewer,url
7.3,October 22 2016,Integrity Blues,Jimmy Eat World,Ian Cohen,https://pitchfork.com/reviews/albums/22378-integrity-blues/
6.9,October 20 2016,Every Now & Then,Jagwar Ma,Nathan Reese,https://pitchfork.com/reviews/albums/22508-every-now-then/
7.3,October 20 2016,Color,Katie Gately,Claire Lobenfeld,https://pitchfork.com/reviews/albums/22512-color/
4.9,October 21 2016,Self Restraint,Gods Wisdom,Matthew Ramirez,https://pitchfork.com/reviews/albums/22507-self-restraint/
4.5,October 20 2016,WALLS,Kings of Leon,Ryan Leas,https://pitchfork.com/reviews/albums/22521-walls/
7.2,October 21 2016,EP A,KAG,Thea Ballard,https://pitchfork.com/reviews/albums/22530-ep-a/
7.0,October 19 2016,Standard Nature,WIFE,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22504-standard-nature/
7.5,October 21 2016,Woptober,Gucci Mane,Israel Daramola,https://pitchfork.com/reviews/albums/22522-woptober/
8.3,October 19 2016,Front Row Seat to Earth,Weyes Blood,Jillian Mapes,https://pitchfork.com/reviews/albums/22463-front-row-seat-to-earth/
7.8,October 19 2016,Thirst 48 Pt. II,Boogie,Dean Van Nguyen,https://pitchfork.com/reviews/albums/22513-thirst-48-pt-ii/
8.1,October 19 2016,Sport,Powell,Philip Sherburne,https://pitchfork.com/reviews/albums/22412-sport/
7.0,October 20 2016,Fires on the Plain,Matt Kivel,Evan Rytlewski,https://pitchfork.com/reviews/albums/22509-fires-on-the-plain/
8.2,October 18 2016,Yes Lawd!,NxWorries,Jonah Bromwich,https://pitchfork.com/reviews/albums/22389-yes-lawd/
7.2,October 18 2016,Arctic Thunder,Darkthrone,Zoe Camp,https://pitchfork.com/reviews/albums/22495-arctic-thunder/
8.5,October 17 2016,Lubbock (on everything),Terry Allen,Stephen Thomas Erlewine,https://pitchfork.com/reviews/albums/22440-lubbock-on-everything/
8.0,October 18 2016,Yermande,Mark Ernestus' Ndagga Rhythm Force,Andy Beta,https://pitchfork.com/reviews/albums/22461-yermande/
5.9,October 17 2016,Requiem For Hell,Mono,Evan Rytlewski,https://pitchfork.com/reviews/albums/22496-requiem-for-hell/
6.2,October 17 2016,Building a Beginning,Jamie Lidell,Evan Rytlewski,https://pitchfork.com/reviews/albums/22494-building-a-beginning/
6.1,October 15 2016,Coconut Oil,Lizzo,Vanessa Okoth-Obbo,https://pitchfork.com/reviews/albums/22511-coconut-oil/
6.6,October 18 2016,Remember Us to Life,Regina Spektor,Katherine St. Asaph,https://pitchfork.com/reviews/albums/22499-remember-us-to-life/
7.9,October 17 2016,America's National Parks,Wadada Leo Smith,Seth Colter Walls,https://pitchfork.com/reviews/albums/22497-americas-national-parks/
9.3,October 16 2016,Good Old Boys,Randy Newman,Winston Cook-Wilson,https://pitchfork.com/reviews/albums/22308-good-old-boys/
6.0,October 15 2016,"COW / Chill Out, World!",The Orb,Andy Beta,https://pitchfork.com/reviews/albums/22390-cow-chill-out-world/
7.4,October 17 2016,super low,Warehouse,Quinn Moreland,https://pitchfork.com/reviews/albums/22458-super-low/
7.5,October 12 2016,Ruminations,Conor Oberst,Ian Cohen,https://pitchfork.com/reviews/albums/22488-ruminations/
6.0,October 14 2016,Home OST,Johnny Jewel,Kevin Lozano,https://pitchfork.com/reviews/albums/22490-home-ost/
6.8,October 15 2016,High Bias,Purling Hiss,Marc Masters,https://pitchfork.com/reviews/albums/22339-high-bias/
7.2,October 14 2016,Coming Home (Original Ghanaian Highlife & Afrobeat Classics 1967-1981),Pat Thomas,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22372-coming-home-original-ghanaian-highlife-afrobeat-classics-1967-1981/
8.0,October 15 2016,Adieux Au Dancefloor,Marie Davidson,Kevin Lozano,https://pitchfork.com/reviews/albums/22493-adieux-au-dancefloor/
7.7,October 12 2016,Cody,Joyce Manor,Quinn Moreland,https://pitchfork.com/reviews/albums/22477-cody/
7.4,October 13 2016,Marked for Death,Emma Ruth Rundle,Sam Sodomsky,https://pitchfork.com/reviews/albums/22492-marked-for-death/
8.6,October 14 2016,Philosophy of the World,The Shaggs,Quinn Moreland,https://pitchfork.com/reviews/albums/22404-shaggs-philosophy-of-the-world/
7.4,October 13 2016,Cashmere,Swet Shop Boys,Mehan Jayasuriya,https://pitchfork.com/reviews/albums/22391-cashmere/
7.6,October 13 2016,There Is No Right Time,Youandewan,Philip Sherburne,https://pitchfork.com/reviews/albums/22410-there-is-no-right-time/
5.7,October 14 2016,Outer,Dusky,Philip Sherburne,https://pitchfork.com/reviews/albums/22411-outer/
9.5,October 13 2016,Complete Third,Big Star,Stephen Thomas Erlewine,https://pitchfork.com/reviews/albums/22348-complete-third/
6.2,October 11 2016,Throwback to the Future,BROOKZILL!,Nate Patrin,https://pitchfork.com/reviews/albums/22478-throwback-to-the-future/
5.1,October 10 2016,Revolution Radio,Green Day,Brad Nelson,https://pitchfork.com/reviews/albums/22474-green-day-revolution-radio/
5.1,October 12 2016,The Altar,Banks,Katherine St. Asaph,https://pitchfork.com/reviews/albums/22489-the-altar/
8.2,October 11 2016,Heart Like a Levee,Hiss Golden Messenger,Laura Snapes,https://pitchfork.com/reviews/albums/22323-heart-like-a-levee/
7.5,October 11 2016,Shit Don’t Stop,G Perico,Paul A. Thompson,https://pitchfork.com/reviews/albums/22486-shit-dont-stop/
7.1,October 12 2016,NOTU_URONLINEU,DVA [Hi:Emotions],Louis Pattison,https://pitchfork.com/reviews/albums/dva-hi-emotions-notu-uronlineu/
9.0,October 9 2016,Rhythm Nation 1814,Janet Jackson,Julianne Escobedo Shepherd,https://pitchfork.com/reviews/albums/22253-rhythm-nation-1814/
7.2,October 10 2016,While They Were Sleeping,Candiria,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22439-while-they-were-sleeping/
7.5,October 10 2016,Sonoran Depravation,Gatecreeper,Andy O'Connor,https://pitchfork.com/reviews/albums/22460-sonoran-depravation/
7.3,October 10 2016,Root/Void,MV & EE,Sam Sodomsky,https://pitchfork.com/reviews/albums/22449-rootvoid/
7.3,October 10 2016,Requiem,GOAT,Stuart Berman,https://pitchfork.com/reviews/albums/22450-requiem/
6.7,October 8 2016,Sorceress,Opeth,Andy O'Connor,https://pitchfork.com/reviews/albums/22466-sorceress/
7.4,October 7 2016,Lamentations,Moses Sumney,Marcus J. Moore,https://pitchfork.com/reviews/albums/22429-lamentations/
5.3,October 8 2016,Be Here Now,Oasis,Laura Snapes,https://pitchfork.com/reviews/albums/22318-be-here-now/
5.8,October 7 2016,Three,Phantogram,Zoe Camp,https://pitchfork.com/reviews/albums/22471-three/
7.3,October 7 2016,Everywhere at the End of Time,The Caretaker,Brian Howe,https://pitchfork.com/reviews/albums/22470-everywhere-at-the-end-of-time/
5.3,October 7 2016,Big Boat,Phish,Sam Sodomsky,https://pitchfork.com/reviews/albums/22451-big-boat/
8.1,October 8 2016,Private Energy,Helado Negro,Matthew Ismael Ruiz,https://pitchfork.com/reviews/albums/22445-private-energy/
7.3,October 6 2016,Serpent Music,Yves Tumor,Andy Beta,https://pitchfork.com/reviews/albums/22472-serpent-music/
6.9,October 11 2016,Day Breaks,Norah Jones,Marcus J. Moore,https://pitchfork.com/reviews/albums/22307-day-breaks/
5.5,October 6 2016,Head Carrier,Pixies,Stuart Berman,https://pitchfork.com/reviews/albums/22437-head-carrier/
7.1,October 6 2016,Fires Within Fires,Neurosis,Jason Heller,https://pitchfork.com/reviews/albums/22476-fires-within-fires/
6.4,October 6 2016,"Farewell, Starlite!",Francis and the Lights,Cameron Cook,https://pitchfork.com/reviews/albums/22475-farewell-starlite/
6.8,October 5 2016,Light We Made,Balance and Composure,Ian Cohen,https://pitchfork.com/reviews/albums/22376-light-we-made/
7.7,October 4 2016,Fio da Memória,Luísa Maita,Andy Beta,https://pitchfork.com/reviews/albums/22435-fio-da-memoria/
7.4,October 4 2016,Dr. Ragtime and His Pals,"Jack Rose,Jack Rose,Jack Rose,Jack Rose,Jack Rose,Jack Rose",Sam Sodomsky,https://pitchfork.com/reviews/albums/22362-red-horse-white-mule-opium-musick-raag-manifestos-jack-rose-i-do-play-rock-and-roll-dr-ragtime-and-his-pals/
8.3,October 4 2016,Blood Bitch,Jenny Hval,Jenn Pelly,https://pitchfork.com/reviews/albums/22314-blood-bitch/
8.7,October 5 2016,A Seat at the Table,Solange,Julianne Escobedo Shepherd,https://pitchfork.com/reviews/albums/22482-a-seat-at-the-table/
8.5,October 3 2016,Atrocity Exhibition,Danny Brown,Matthew Ramirez,https://pitchfork.com/reviews/albums/22468-atrocity-exhibition/
7.6,October 5 2016,The Electric Lucifer,Bruce Haack,Stuart Berman,https://pitchfork.com/reviews/albums/22375-the-electric-lucifer/
7.0,October 5 2016,13,Supersilent,Brian Howe,https://pitchfork.com/reviews/albums/22459-13/
7.8,October 4 2016,Rheia,Oathbreaker,Andy O'Connor,https://pitchfork.com/reviews/albums/22373-rheia/
8.3,October 3 2016,Real Enemies,Darcy James Argue's Secret Society,Seth Colter Walls,https://pitchfork.com/reviews/albums/22299-real-enemies/
7.2,October 4 2016,Monologue,Aaron Abernathy,Marcus K. Dowling,https://pitchfork.com/reviews/albums/22447-monologue/
7.5,October 3 2016,Quebec Place,Innanet James,Sheldon Pearce,https://pitchfork.com/reviews/albums/22446-quebec-place/
6.9,October 8 2016,Cold Summer,DJ Mustard,Sheldon Pearce,https://pitchfork.com/reviews/albums/22484-cold-summer/
6.6,September 30 2016,Expert Knob Twiddlers,Mike & Rich,Mark Richardson,https://pitchfork.com/reviews/albums/22298-expert-knob-twiddlers/
7.4,October 1 2016,RR7349,S U R V I V E,Cameron Cook,https://pitchfork.com/reviews/albums/22430-rr7349/
9.0,October 1 2016,The ECM Recordings,"Steve Reich,Steve Reich,Steve Reich,Steve Reich",Seth Colter Walls,https://pitchfork.com/reviews/albums/22346-the-ecm-recordings/
9.0,September 30 2016,"22, A Million",Bon Iver,Amanda Petrusich,https://pitchfork.com/reviews/albums/22420-22-a-million/
6.7,October 1 2016,Electronic Music From the Seventies and Eighties,Carl Stone,Andy Beta,https://pitchfork.com/reviews/albums/22388-electronic-music-from-the-seventies-and-eighties/
7.8,September 30 2016,A Certain Degree of Stasis,"Thomas Brinkmann,Thomas Brinkmann",Philip Sherburne,https://pitchfork.com/reviews/albums/22304-a-1000-keys-a-certain-degree-of-stasis/
7.5,October 1 2016,Blue Mountain,Bob Weir,Jesse Jarnow,https://pitchfork.com/reviews/albums/22368-blue-mountain/
9.2,October 2 2016,Alien Lanes,Guided by Voices,Steven Hyden,https://pitchfork.com/reviews/albums/22292-alien-lanes/
7.9,October 3 2016,Schaum,"Masayoshi Fujita,Jan Jelinek",Andy Beta,https://pitchfork.com/reviews/albums/22434-schaum/
8.7,September 29 2016,Sirens,Nicolas Jaar,Jonah Bromwich,https://pitchfork.com/reviews/albums/22444-sirens/
6.7,September 29 2016,Heads Up,Warpaint,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22426-heads-up/
7.0,September 30 2016,Alienist,Psychic TV,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22425-alienist/
7.3,September 29 2016,Masculin Féminin,Blonde Redhead,Stuart Berman,https://pitchfork.com/reviews/albums/22315-masculin-feminin/
6.9,September 28 2016,Campaign,Ty Dolla $ign,Winston Cook-Wilson,https://pitchfork.com/reviews/albums/22443-campaign/
7.0,September 28 2016,"If You See Me, Say Yes",Flock of Dimes,Evan Rytlewski,https://pitchfork.com/reviews/albums/22432-if-you-see-me-say-yes/
7.3,September 28 2016,Return to Love,LVL UP,Colin Joyce,https://pitchfork.com/reviews/albums/22427-return-to-love/
6.6,September 27 2016,Ape in Pink Marble,Devendra Banhart,Sam Sodomsky,https://pitchfork.com/reviews/albums/22423-ape-in-pink-marble/
7.6,September 28 2016,The Healing Component,Mick Jenkins,Dean Van Nguyen,https://pitchfork.com/reviews/albums/22431-the-healing-component/
6.0,September 27 2016,Legends Never Die,Chinx,Sheldon Pearce,https://pitchfork.com/reviews/albums/22146-legends-never-die/
8.2,September 29 2016,Fetish Bones,Moor Mother,Kevin Lozano,https://pitchfork.com/reviews/albums/22424-fetish-bones/
8.5,September 26 2016,Mirage,Fleetwood Mac,Laura Snapes,https://pitchfork.com/reviews/albums/22134-mirage/
6.8,September 26 2016,Care,How to Dress Well,Jonah Bromwich,https://pitchfork.com/reviews/albums/22416-care/
7.3,September 27 2016,Human Energy,Machinedrum,Nate Patrin,https://pitchfork.com/reviews/albums/22387-human-energy/
7.8,September 27 2016,Open to Chance,Itasca,Marc Masters,https://pitchfork.com/reviews/albums/22386-open-to-chance/
6.6,September 26 2016,I Remember,AlunaGeorge,Stacey Anderson,https://pitchfork.com/reviews/albums/22400-i-remember/
6.8,September 24 2016,Dang,Eola,Thea Ballard,https://pitchfork.com/reviews/albums/22369-dang/
7.4,September 26 2016,A Corpse Wired for Sound,Merchandise,Kevin Lozano,https://pitchfork.com/reviews/albums/22422-a-corpse-wired-for-sound/
9.4,September 25 2016,Mama’s Gun,Erykah Badu,Daphne A. Brooks,https://pitchfork.com/reviews/albums/22045-mamas-gun/
7.4,September 24 2016,Shape Shift With Me,Against Me!,Brad Nelson,https://pitchfork.com/reviews/albums/22419-shape-shift-with-me/
7.7,September 24 2016,Instrumentalepathy,The Gaslamp Killer,Nate Patrin,https://pitchfork.com/reviews/albums/22428-instrumentalepathy/
7.8,September 24 2016,Crooked Man,Crooked Man,Piotr Orlov,https://pitchfork.com/reviews/albums/22406-crooked-man/
7.3,September 26 2016,A Loud Bash of Teenage Feelings,Beach Slang,Ian Cohen,https://pitchfork.com/reviews/albums/22370-a-loud-bash-of-teenage-feelings/
7.7,September 23 2016,Mykki,Mykki Blanco,Stacey Anderson,https://pitchfork.com/reviews/albums/22399-mykki/
8.3,September 23 2016,I Had a Dream That You Were Mine,"Hamilton Leithauser,Rostam",Jillian Mapes,https://pitchfork.com/reviews/albums/22313-i-had-a-dream-that-you-were-mine/
7.6,September 23 2016,Departed Glories,Biosphere,Brian Howe,https://pitchfork.com/reviews/albums/22302-departed-glories/
6.3,September 23 2016,Sunlit Youth,Local Natives,Ryan Leas,https://pitchfork.com/reviews/albums/22405-sunlit-youth/
7.5,September 21 2016,Feature Magnetic,Kool Keith,Paul A. Thompson,https://pitchfork.com/reviews/albums/22366-feature-magnetic/
6.6,September 21 2016,Hard II Love,Usher,Rebecca Haithcoat,https://pitchfork.com/reviews/albums/22418-hard-ii-love/
7.1,September 22 2016,Up Against the Bricks,Dyke Drama,Chris Randle,https://pitchfork.com/reviews/albums/22385-up-against-the-bricks/
7.5,September 21 2016,The Randy Newman Songbook,Randy Newman,Stephen Thomas Erlewine,https://pitchfork.com/reviews/albums/22367-the-randy-newman-songbook/
7.5,September 22 2016,Chapter and Verse,Bruce Springsteen,Sam Sodomsky,https://pitchfork.com/reviews/albums/22409-chapter-and-verse/
8.1,September 22 2016,We Are the Halluci Nation,A Tribe Called Red,Erin MacLeod,https://pitchfork.com/reviews/albums/22384-we-are-the-halluci-nation/
6.1,September 22 2016,Mount Ninji and Da Nice Time Kid,Die Antwoord,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22421-mount-ninji-and-da-nice-time-kid/
7.4,September 21 2016,Fear and Fury,Pallbearer,Grayson Haver Currin,https://pitchfork.com/reviews/albums/22326-fear-and-fury/
7.0,September 20 2016,Love Means Taking Action,Croatian Amor,David Glickman,https://pitchfork.com/reviews/albums/22408-love-means-taking-action/
7.5,September 20 2016,Imaginational Anthem Vol. 8 : The Private Press,,Andy Beta,https://pitchfork.com/reviews/albums/22382-imaginational-anthem-vol-8-the-private-press/
8.2,September 20 2016,The Complete BBC Sessions,Led Zeppelin,Nate Patrin,https://pitchfork.com/reviews/albums/22402-the-complete-bbc-sessions/
7.8,September 17 2016,The Divine Feminine,Mac Miller,Sheldon Pearce,https://pitchfork.com/reviews/albums/22293-the-divine-feminine/
8.0,September 19 2016,Sumerlands,Sumerlands,Andy O'Connor,https://pitchfork.com/reviews/albums/22357-sumerlands/
7.0,September 17 2016,Transpecos OST,"Bryce Dessner,Aaron Dessner",Winston Cook-Wilson,https://pitchfork.com/reviews/albums/22398-transpecos-ost/
7.6,September 19 2016,ArtScience,Robert Glasper Experiment,Marcus J. Moore,https://pitchfork.com/reviews/albums/22312-artscience/
7.4,September 17 2016,The Tonite Show,"DJ Fresh,Ezale",Matthew Ramirez,https://pitchfork.com/reviews/albums/22403-the-tonite-show/
10,September 18 2016,Another Green World,Brian Eno,Mike Powell,https://pitchfork.com/reviews/albums/22061-another-green-world/
7.7,September 19 2016,Body Wash,Mndsgn,Nate Patrin,https://pitchfork.com/reviews/albums/22381-body-wash/
8.0,September 16 2016,Pretty Years,Cymbals Eat Guitars,Evan Rytlewski,https://pitchfork.com/reviews/albums/22397-cymbals-eat-guitars-pretty-years/
8.9,September 17 2016,Femenine,Julius Eastman,Seth Colter Walls,https://pitchfork.com/reviews/albums/22310-julius-eastman-femenine/
7.1,September 16 2016,Clinging to a Dream,Silver Apples,Jesse Jarnow,https://pitchfork.com/reviews/albums/22365-clinging-to-a-dream/
7.9,September 19 2016,Preoccupations,Preoccupations,Marc Masters,https://pitchfork.com/reviews/albums/22407-preoccupations/
8.1,September 16 2016,Stage Four,Touché Amoré,Zoe Camp,https://pitchfork.com/reviews/albums/22359-touche-amore-stage-four/
6.8,September 15 2016,Lady Parts,Fudge,Sheldon Pearce,https://pitchfork.com/reviews/albums/22335-lady-parts/
7.6,September 20 2016,Furfour,Grumbling Fur,Judy Berman,https://pitchfork.com/reviews/albums/22383-furfour/
8.4,September 15 2016,Sunergy,"Kaitlyn Aurelia Smith,Suzanne Ciani",Jenn Pelly,https://pitchfork.com/reviews/albums/22300-sunergy/
7.6,September 16 2016,Cactus,"Matthew Shipp,Bobby Kapp",Marc Masters,https://pitchfork.com/reviews/albums/22358-cactus/
7.8,September 15 2016,The Wink,Tim Presley,Laura Snapes,https://pitchfork.com/reviews/albums/22360-the-wink/
9.0,September 14 2016,Skeleton Tree,Nick Cave & the Bad Seeds,Stuart Berman,https://pitchfork.com/reviews/albums/22336-skeleton-tree/
7.7,September 15 2016,Light Falls,Wrekmeister Harmonies,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22379-light-falls/
7.5,September 13 2016,Orphée,Jóhann Jóhannsson,Benjamin Scheim,https://pitchfork.com/reviews/albums/22305-orphee/
7.4,September 14 2016,The Assistenz,Cristian Vogel,Philip Sherburne,https://pitchfork.com/reviews/albums/22303-the-assistenz/
9.2,September 14 2016,E2-E4,Manuel Göttsching,Mark Richardson,https://pitchfork.com/reviews/albums/22283-e2-e4/
5.9,September 13 2016,AIM,M.I.A.,Kevin Lozano,https://pitchfork.com/reviews/albums/22396-aim/
7.0,September 10 2016,Away,Okkervil River,Evan Rytlewski,https://pitchfork.com/reviews/albums/22288-away/
7.1,September 14 2016,KoKoro,El Perro Del Mar,Benjamin Scheim,https://pitchfork.com/reviews/albums/22306-kokoro/
9.0,September 10 2016,Twin Peaks OST,Angelo Badalamenti,Seth Colter Walls,https://pitchfork.com/reviews/albums/22327-twin-peaks-ost/
6.5,September 12 2016,Afro-Cuban Electronics,Alpha 606,Philip Sherburne,https://pitchfork.com/reviews/albums/22112-afro-cuban-electronics/
7.4,September 12 2016,Arvo Pärt: The Deer's Cry,Vox Clamantis,Seth Colter Walls,https://pitchfork.com/reviews/albums/22345-arvo-part-the-deers-cry/
7.5,September 12 2016,Pearls to Swine,Adam Torres,Ryan Leas,https://pitchfork.com/reviews/albums/22309-pearls-to-swine/
9.1,September 13 2016,Time Fades Away,"Neil Young,Neil Young & Crazy Horse",Rob Mitchum,https://pitchfork.com/reviews/albums/22343-neil-young-neil-young-crazy-horse-time-fades-awayzuma/
4.6,September 12 2016,Rub Out the Word,"Steve Buscemi,Elliott Sharp",Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22356-rub-out-the-word/
8.3,September 13 2016,Desconstrução,,Andy Beta,https://pitchfork.com/reviews/albums/22238-desconstrucao/
8.0,September 12 2016,Acoustic Recordings 1998-2016,Jack White,Stuart Berman,https://pitchfork.com/reviews/albums/22350-jack-white-acoustic-recordings-1998-2016/
9.4,September 11 2016,Caetano Veloso,Caetano Veloso,Andy Beta,https://pitchfork.com/reviews/albums/22255-caetano-veloso/
4.4,September 10 2016,Anything But Words,Banks & Steelz,Evan Rytlewski,https://pitchfork.com/reviews/albums/22364-anything-but-words/
8.0,September 10 2016,Deserts of Youth,Lisa/Liza,Sam Sodomsky,https://pitchfork.com/reviews/albums/22380-lisaliza-deserts-of-youth/
7.0,September 9 2016,Schmilco,Wilco,Sam Sodomsky,https://pitchfork.com/reviews/albums/22355-schmilco/
7.1,September 8 2016,E•MO•TION Side B,Carly Rae Jepsen,Brad Nelson,https://pitchfork.com/reviews/albums/22354-emotion-side-b/
7.9,September 6 2016,Ultra,Zomby,Philip Sherburne,https://pitchfork.com/reviews/albums/22322-ultra/
7.2,September 8 2016,Birds in the Trap Sing McKnight,Travis Scott,Matthew Strauss,https://pitchfork.com/reviews/albums/22361-travis-scott-birds-in-the-trap-sing-mcknight/
7.3,September 9 2016,We Move,James Vincent McMorrow,Sheldon Pearce,https://pitchfork.com/reviews/albums/22330-we-move/
8.2,September 8 2016,2007-2011,P.S. Eliot,Quinn Moreland,https://pitchfork.com/reviews/albums/22284-2007-2011/
7.4,September 9 2016,The End of Comedy,Drugdealer,Colin Joyce,https://pitchfork.com/reviews/albums/22290-the-end-of-comedy/
8.1,September 9 2016,Goodbye to Language,Daniel Lanois,Philip Sherburne,https://pitchfork.com/reviews/albums/22289-goodbye-to-language/
6.0,September 7 2016,The Serious EP,Bibio,Brian Howe,https://pitchfork.com/reviews/albums/22352-the-serious-ep/
6.4,September 3 2016,and the Anonymous Nobody...,De La Soul,Nate Patrin,https://pitchfork.com/reviews/albums/22353-and-the-anonymous-nobody/
8.1,September 7 2016,Circle 1: Live in Germany Concert,"Circle,Circle",Seth Colter Walls,https://pitchfork.com/reviews/albums/22342-circle-1-live-in-germany-concert-circle-2-gathering/
6.8,September 8 2016,As Light as Light,inc. no world,Renato Pagnani,https://pitchfork.com/reviews/albums/22351-as-light-as-light/
8.1,September 7 2016,The Sun’s Tirade,Isaiah Rashad,Sheldon Pearce,https://pitchfork.com/reviews/albums/22363-the-suns-tirade/
7.0,September 7 2016,False Readings On,Eluvium,Brian Howe,https://pitchfork.com/reviews/albums/22281-false-readings-on/
7.5,September 3 2016,Existentialism,Mekons,Stephen Thomas Erlewine,https://pitchfork.com/reviews/albums/22349-existentialism/
7.8,September 3 2016,Cosmetic,Nots,Stuart Berman,https://pitchfork.com/reviews/albums/22337-cosmetic/
7.2,September 6 2016,Patientness,Yohuna,Colin Joyce,https://pitchfork.com/reviews/albums/22286-patientness/
9.1,September 4 2016,A Rainbow in Curved Air,Terry Riley,Seth Colter Walls,https://pitchfork.com/reviews/albums/22212-a-rainbow-in-curved-air/
6.2,September 3 2016,Science Agrees,D.A.R.K.,Pat Healy,https://pitchfork.com/reviews/albums/21989-science-agrees/
7.8,September 6 2016,Here,Teenage Fanclub,Sam Sodomsky,https://pitchfork.com/reviews/albums/22287-here/
5.3,September 6 2016,Splendor & Misery,clipping.,Mehan Jayasuriya,https://pitchfork.com/reviews/albums/22344-splendor-misery/
8.7,September 2 2016,92982,William Basinski,Kevin Lozano,https://pitchfork.com/reviews/albums/22277-william-basinski-92982/
7.3,September 2 2016,Kiss Me All Night EP,Junior Boys,Cameron Cook,https://pitchfork.com/reviews/albums/22332-kiss-me-all-night-ep/
8.0,September 2 2016,blisters,serpentwithfeet,Kevin Lozano,https://pitchfork.com/reviews/albums/22333-blisters/
8.8,September 2 2016,My Woman,Angel Olsen,Jenn Pelly,https://pitchfork.com/reviews/albums/22282-my-woman/
7.3,September 1 2016,Funk Factory,Funk Factory,Nate Patrin,https://pitchfork.com/reviews/albums/22271-funk-factory/
7.3,August 31 2016,Trouble,The Dead C,Jason Heller,https://pitchfork.com/reviews/albums/22320-trouble/
8.0,August 30 2016,Prima Donna,Vince Staples,Mehan Jayasuriya,https://pitchfork.com/reviews/albums/22296-vince-staples-prima-donna/
2.0,August 31 2016,The Party's Over EP,Prophets of Rage,Ian Cohen,https://pitchfork.com/reviews/albums/22319-the-partys-over-ep/
6.6,September 1 2016,Killer Road,"Soundwalk Collective,Patti Smith,Jesse Paris Smith",Winston Cook-Wilson,https://pitchfork.com/reviews/albums/22341-killer-road/
5.3,August 31 2016,Becoming the Beach Boys: The Complete Hite & Dorinda Morgan Sessions,The Beach Boys,Stacey Anderson,https://pitchfork.com/reviews/albums/22331-becoming-the-beach-boys-the-complete-hite-dorinda-morgan-sessions/
8.6,September 1 2016,"One Nite Alone, The Aftershow: It Ain't Over!",Prince,Seth Colter Walls,https://pitchfork.com/reviews/albums/22338-one-nite-alone-the-aftershow-it-aint-over/
5.6,August 31 2016,Opalescent,Jon Hopkins,Kevin Lozano,https://pitchfork.com/reviews/albums/22325-opalescent/
6.8,August 30 2016,Amnesty (I),Crystal Castles,Evan Rytlewski,https://pitchfork.com/reviews/albums/22243-amnesty-i/
8.5,September 1 2016,JEFFERY,Young Thug,Sheldon Pearce,https://pitchfork.com/reviews/albums/22329-jeffery/
7.5,August 30 2016,Water EP,Porches,Jonah Bromwich,https://pitchfork.com/reviews/albums/22328-water-ep/
7.5,August 30 2016,Whole & Cloven,Nathan Bowles,Sam Sodomsky,https://pitchfork.com/reviews/albums/22279-whole-cloven/
8.0,August 29 2016,Motion Graphics,Motion Graphics,Philip Sherburne,https://pitchfork.com/reviews/albums/22257-motion-graphics/
8.2,August 29 2016,For this We Fought the Battle of Ages,SubRosa,Grayson Haver Currin,https://pitchfork.com/reviews/albums/22251-for-this-we-fought-the-battle-of-ages/
6.3,August 26 2016,4th of July,Carl Broemel,Evan Rytlewski,https://pitchfork.com/reviews/albums/22311-4th-of-july/
6.5,August 29 2016,GucTiggy EP,"Gucci Mane,Zaytoven",Sheldon Pearce,https://pitchfork.com/reviews/albums/22340-guctiggy-ep/
8.1,August 29 2016,Mangy Love,Cass McCombs,Sam Sodomsky,https://pitchfork.com/reviews/albums/22256-mangy-love/
9.4,August 28 2016,Things Fall Apart,The Roots,Marcus J. Moore,https://pitchfork.com/reviews/albums/22132-things-fall-apart/
7.4,August 26 2016,Nexus,Feral,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22231-nexus/
6.5,August 26 2016,Instinctive Drowning,Red Pill,Jay Balfour,https://pitchfork.com/reviews/albums/22280-instinctive-drowning/
7.4,August 27 2016,Larva Lumps and Baby Bumps,Controlled Bleeding,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22260-larva-lumps-and-baby-bumps/
5.9,August 26 2016,Ibifornia,Cassius,Philip Sherburne,https://pitchfork.com/reviews/albums/22321-ibifornia/
7.7,August 27 2016,The Bells,Kornél Kovács,Philip Sherburne,https://pitchfork.com/reviews/albums/22252-the-bells/
6.7,August 27 2016,"Take It, It’s Yours","Katy Goodman,Greta Morgan",Zoe Camp,https://pitchfork.com/reviews/albums/22254-take-it-its-yours/
9.0,August 25 2016,Blonde,"Frank Ocean,Frank Ocean",Ryan Dombal,https://pitchfork.com/reviews/albums/22295-blonde-endless/
5.0,August 24 2016,Home Wrecking Years,Brendan Canning,Pat Healy,https://pitchfork.com/reviews/albums/22223-home-wrecking-years/
7.6,August 25 2016,Partners,Peter Broderick,Saby Reyes-Kulkarni,https://pitchfork.com/reviews/albums/22249-partners/
6.3,August 24 2016,I Told You,Tory Lanez,Sheldon Pearce,https://pitchfork.com/reviews/albums/22211-i-told-you/
